# FAST-LIVO2 runtime diagnostics
# node=fast_livo2,package=fast_livo
# values are sampled approximately every diagnostics_interval_sec
wall_epoch_s,ros_time_s,processed_time_s,newest_sensor_time_s,lag_s,rss_kb,rss_hwm_kb,vmsize_kb,vmswap_kb,threads,mem_available_kb,swap_free_kb,lidar_buf,img_buf,imu_buf,prop_imu_buf,root_voxels,visual_voxels,visual_points,path_poses,pub_wait_points,pcd_wait_points,dropped_lidar,dropped_img,dropped_imu,root_pruned_total,root_hardcap_pruned_total,visual_pruned_voxels_total,visual_pruned_points_total,pos_x,pos_y,pos_z,vel_norm,lio_down_s,lio_icp_s,lio_map_s,lio_total_s,lio_avg_s,vio_retrieve_s,vio_ekf_s,vio_generate_s,vio_update_s,vio_ref_s,vio_total_s,vio_avg_s
1790149236.000000,1790149236.193198,946690220.203698,946690233.215698,13.011999,1032024,1032024,2423432,0,14,3632120,2181020,130,86,2633,0,12654,941,3487,34,0,295393,0,0,0,0,0,0,0,-0.011609,0.019983,0.000303,0.039356,0.001991,0.090406,0.015198,0.108213,0.204829,0.008266,0.017931,0.003637,0.000272,0.000002,0.030107,0.034575
1790149237.000000,1790149237.322777,946690220.398682,946690234.337742,13.939061,1111456,1111456,2527608,0,14,3552204,2181276,139,98,2820,0,12755,948,3579,36,0,305737,0,0,0,0,0,0,0,-0.010126,0.012431,-0.002115,0.093856,0.003557,0.127624,0.024539,0.156721,0.204637,0.010951,0.017512,0.005058,0.000284,0.000003,0.033808,0.034553
1790149238.000000,1790149238.476633,946690220.573578,946690235.430175,14.856597,1198136,1198136,2626260,0,14,3462560,2181276,149,110,3017,0,12827,956,3761,37,0,326834,0,0,0,0,0,0,0,-0.013067,0.022464,-0.000707,0.015409,0.006013,0.218945,0.035430,0.262018,0.206188,0.013201,0.014667,0.005830,0.000262,0.000003,0.033963,0.034432
1790149239.000000,1790149239.504178,946690220.689922,946690236.541500,15.851578,1282200,1282200,2740012,0,14,3378372,2181276,158,122,3201,0,12870,974,3867,39,0,333330,0,0,0,0,0,0,0,-0.010494,0.000925,-0.004439,0.250056,0.002321,0.109578,0.016663,0.129335,0.201201,0.010163,0.013096,0.004104,0.000244,0.000002,0.027609,0.034253
1790149240.000000,1790149240.613120,946690220.770310,946690237.664834,16.894524,1368064,1368064,2839304,0,14,3289680,2181276,169,134,3404,0,12887,993,4039,40,0,346692,0,0,0,0,0,0,0,-0.012522,0.021711,0.000338,0.058234,0.002703,0.118335,0.021327,0.143281,0.199753,0.010746,0.020011,0.004455,0.000295,0.000003,0.035511,0.034408
1790149241.000000,1790149241.736699,946690220.958127,946690238.730066,17.771938,1478924,1478924,2946648,0,14,3174656,2181276,178,147,3600,0,12954,996,4133,41,0,360028,0,0,0,0,0,0,0,-0.009107,0.021009,-0.001712,0.044184,0.007391,0.350590,0.037883,0.397546,0.204577,0.014401,0.022103,0.007254,0.000294,0.000002,0.044055,0.034644
1790149242.000000,1790149242.801702,946690221.169350,946690239.926805,18.757455,1566400,1566400,3061984,0,14,3089280,2181276,188,159,3809,0,13034,1006,4312,43,0,378702,0,0,0,0,0,0,0,-0.009997,0.022317,-0.000783,0.015593,0.006366,0.300082,0.032903,0.340731,0.205474,0.012275,0.017369,0.006139,0.000267,0.000003,0.036053,0.034397
1790149243.000000,1790149243.806221,946690221.432303,946690240.847057,19.414754,1621960,1621960,3136092,0,14,3033152,2181276,194,167,3942,0,13098,1015,4403,45,0,386529,0,0,0,0,0,0,0,-0.014656,0.013371,-0.002374,0.055263,0.007818,0.403141,0.036182,0.448796,0.210353,0.010025,0.025573,0.003652,0.000285,0.000003,0.039537,0.034513
1790149245.000000,1790149245.281107,946690221.664789,946690242.345006,20.680217,1712180,1712180,3252788,0,14,2939456,2181276,206,179,4175,0,13171,1020,4586,47,0,408103,0,0,0,0,0,0,0,-0.004943,-0.002157,0.000849,0.192975,0.007981,0.347829,0.030213,0.387399,0.214804,0.011191,0.030603,0.004056,0.000307,0.000003,0.046159,0.034870
1790149246.000000,1790149246.792374,946690221.865045,946690243.731177,21.866132,1821560,1821560,3391020,0,14,2827440,2181276,219,194,4438,0,13209,1032,4764,49,0,425489,0,0,0,0,0,0,0,-0.005308,0.014794,-0.003968,0.067369,0.004827,0.231281,0.031070,0.268551,0.214145,0.012014,0.022618,0.003539,0.000325,0.000003,0.038499,0.035079
